#blinkered/attestations/2 language=lt words=83634 sources=11 built=2026-09-23 digest=9b181ad338498d97
#tokens ebible:lit=98983 ia=5766621 lz:lit_news_2020_1M=337389 lz:lit_newscrawl_2016_1M=4156616 tat=633014 web:15min.lt=164124 web:delfi.lt=97029 web:diena.lt=175961 web:literaturairmenas.lt=200152 web:lrt.lt=116227 web:lrytas.lt=22648 web:respublika.lt=239697 web:vz.lt=321155 wiki:lt=40782194 wikisource:lt=935177
VEIKSMINGO	ia,lz:lit_newscrawl_2016_1M,web:lrt.lt,wiki:lt	1,1,9,13	ia:aba_20230602/Anderson.-.Isivaizduojamos.bendruomen%C4%97s.1999_djvu.txt lz:lit_newscrawl_2016_1M:http://www.delfi.lt/sveikata/sveikatos-naujienos/sudetingos-operacijos-vaizdas-net-dviejuose-ekranuose.d?id=4767787 web:lrt.lt:https://lrt.lt/lituanica/istorijos/752/3056119/kucinskai-nuo-darbo-mokykloje-ilsisi-mindami-dviracius-keliavo-po-baltijos-salis-skotija web:lrt.lt:https://lrt.lt/lituanica/istorijos wiki:lt:7393 wiki:lt:11565
VERTINGIAUSIU	ia,lz:lit_newscrawl_2016_1M,wiki:lt	1,1,13	ia:lebedys-mikalojus-dauksa-1963/Lebedys%2C%20Mikalojus%20Dauk%C5%A1a%2C%201963_djvu.txt lz:lit_newscrawl_2016_1M:http://www.sekunde.lt/pasaulis/naujajame-tailando-metropolitene-suzeista-per-100-zmoniu/ wiki:lt:992 wiki:lt:64178
AORTĄ	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.delfi.lt/sportas/futbolas/brazilui-kaka-atiteko-dar-vienas-apdovanojimas.d?id=15347512=1=0=2 wiki:lt:2802 wiki:lt:3007
ATASKAITOMIS	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.delfi.lt/temos/ramunas-saucikovas/?page=3 wiki:lt:17813 wiki:lt:49988
ATBULINĖS	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.skrastas.lt/?data=2008-03-29=1065924816=1287741097 wiki:lt:7788 wiki:lt:9111
ATRANKINIŲ	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://klaipeda.diena.lt/naujienos/sportas/krepsinis/v-seskus-tai-bus-svarbiausios-rungtynes-mano-karjeroje-674613 wiki:lt:18490 wiki:lt:18737
ATSIKRAUSTANT	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.kurjeris.lt/comment/list/32538/(offset)/20/(limit)/10 wiki:lt:1738 wiki:lt:5690
BELGIŠKAS	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.delfi.lt/news/daily/lithuania/uz-vilniaus-valdzios-klaida-mokesciu-moketojai-sumokes-per-13-tukst-euru.d?id=73094396=1=0=0=2 wiki:lt:8707 wiki:lt:61010
BERTOS	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.ve.lt/naujienos/lietuva/vakaru-lietuva/uostamiestyje---pirmasis-pozeminis-siuksliu-konteineris-754933/ wiki:lt:925 wiki:lt:165257
DETEKTYVU	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.lrt.lt/naujienos/pasaulyje/9/129848 wiki:lt:122673 wiki:lt:126887
DUČĖ	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.ve.lt/naujienos/ekonomika/automobiliai/ekskaliburas-nuo-karaliaus-arturo-iki-klaipedos/ wiki:lt:7868 wiki:lt:9275
ELFUS	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.bernardinai.lt/straipsnis/2013-10-13-aleksandras-sidlauskas-williamo-shakespeare-o-sonetu-pasaulyje/108642 wiki:lt:1036 wiki:lt:11024
GAMYKLINIŲ	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.delfi.lt/news/daily/lithuania/naujasis-seimo-vadovas-reikia-rasti-viena-dydi-kuriuo-remiantis-butu-keliami-visi-atlyginimai.d?id=73022586=1=0=2 wiki:lt:3587 wiki:lt:32127
GELTONĄJA	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://svencioniu.krastas.w3.lt/v2/index.php?option=com_content=article=2987:skaitytojos-laikas=415:2015-m-balandio-15-d-treiadienis-nr39-1463=59 wiki:lt:4821 wiki:lt:19974
GVARDIEČIAI	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.ve.lt/archyvas/2011-01-19/,page.3 wiki:lt:2002 wiki:lt:135264
GYVŪNĖLIAI	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.ve.lt/naujienos/kultura/kulturos-naujienos/pirmasis-gimtadienis---geras-zenklas-504964/?utm_source=susije=referal=blokas wiki:lt:3851 wiki:lt:5422
ILGAJAME	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://klaipeda.diena.lt/naujienos/nuomones/nuomones-klaipeda/kubos-patriarcho-ruduo-785200 wiki:lt:25130 wiki:lt:27748
IŠKIRPTOS	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.15min.lt/deuce/naujiena/profesionalus-sportas/naujienos/alinanciame-trileryje-laurynas-grigelis-pralaimejo-viktorui-durasoviciui-338-591495 wiki:lt:58141 wiki:lt:59145
KURORTINIAME	lz:lit_newscrawl_2016_1M,web:15min.lt,wiki:lt	1,1,20	lz:lit_newscrawl_2016_1M:http://www.15min.lt/naujiena/aktualu/pasaulis/politologai-prisipazino-neivertine-donaldo-trumpo-jis-kalbejo-taip-kaip-kalba-zmones-bare-57-621641?utm_source=rsszymes=rss=rssfeed web:15min.lt:https://www.15min.lt/gyvenimas/naujiena/keliones/plastiku-isklotos-sienos-ir-reples-salia-kedes-lietuviu-pamegtoje-ispanijos-vietoje-siaubingas-radinys-1630-2769744 wiki:lt:19426 wiki:lt:40936
LAIKANČIĄ	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.ve.lt/naujienos/kriminalai/-388259/ wiki:lt:1585 wiki:lt:27161
LAUKYMĖ	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.ve.lt/naujienos/ekonomika/nt/pasake-kuriame-mikrorajone-bustai-patraukliausi-1446858/komentarai/,page.3 wiki:lt:194995 wiki:lt:231664
LENGVASVORIŲ	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.sekunde.lt/ivairenybes/dz-lopes-koncertas-maroke-premjeras-reikalauja-tyrimo/ wiki:lt:114376 wiki:lt:120587
LILIPUTAS	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.veidas.lt/siulo-pratesti-graikijos-skolos-grazinimo-termina wiki:lt:989 wiki:lt:23326
LUITUS	lz:lit_newscrawl_2016_1M,wiki:lt	1,20	lz:lit_newscrawl_2016_1M:http://www.delfi.lt/verslas/energetika/vpt-ignalinos-ae-teisetai-pirko-teisiniu-paslaugu-uz-5-mln-lt.d?id=48898046 wiki:lt:811 wiki:lt:4845
